Number.of.Fish,Ave.time.to.drive,No.drivers,Total.trips,Est.mort.rate
20,30,1,1,0.001163895
20,60,1,1,0.001681313
20,90,1,1,0.002428194
20,120,1,1,0.003505692
40,30,1,1,0.001457745
40,60,1,1,0.00210552
40,90,1,1,0.00304027
40,120,1,1,0.004388179
60,30,1,1,0.001825647
60,60,1,1,0.002636475
60,90,1,1,0.003806044
60,120,1,1,0.00549159
80,30,1,2,0.002206606
80,60,1,2,0.00318609
80,90,1,2,0.00459835
80,120,1,2,0.006632441
100,30,1,2,0.002469211
100,60,1,2,0.003564845
100,90,1,2,0.005144125
100,120,1,2,0.007417842
120,30,1,2,0.002762981
120,60,1,2,0.003988445
120,90,1,2,0.005754303
120,120,1,2,0.008295471
140,30,1,2,0.003091594
140,60,1,2,0.004462156
140,90,1,2,0.00643639
140,120,1,2,0.009275966
160,30,1,2,0.003459155
160,60,1,2,0.004991847
160,90,1,2,0.007198744
160,120,1,2,0.01037114
180,30,1,2,0.003870245
180,60,1,2,0.005584064
180,90,1,2,0.008050662
180,120,1,2,0.011594103
200,30,1,2,0.004329978
200,60,1,2,0.006246099
200,90,1,2,0.009002483
200,120,1,2,0.012959389
220,30,1,2,0.004844055
220,60,1,2,0.006986072
220,90,1,2,0.010065696
220,120,1,2,0.014483092
240,30,1,3,0.005230779
240,60,1,3,0.007542507
240,90,1,2,0.011253051
240,90,2,6,0.010864737
240,120,1,2,0.016183006
240,120,2,6,0.015627261
260,30,1,3,0.005636648
260,60,1,3,0.008126283
260,90,1,2,0.012578687
260,90,2,6,0.011702617
260,120,1,2,0.018078784
260,120,2,6,0.016826175
280,30,1,3,0.006073818
280,60,1,3,0.008754845
280,90,1,2,0.014058266
280,90,2,6,0.012604289
280,120,1,2,0.020192086
280,120,2,6,0.018115375
300,30,1,3,0.00654467
300,60,1,3,0.009431562
300,90,1,2,0.015709112
300,90,2,6,0.01357448
300,120,1,2,0.022546749
300,120,2,6,0.019501393
320,30,1,3,0.007051765
320,60,1,3,0.010160052
320,90,1,2,0.017550365
320,90,2,6,0.014618244
320,120,1,2,0.025168943
320,120,2,6,0.02099119
340,30,1,3,0.007597849
340,60,1,3,0.010944188
340,90,1,2,0.019603132
340,90,2,6,0.015740984
340,120,1,1,0.114735504
340,120,2,6,0.022592175
360,30,1,3,0.008185874
360,60,1,3,0.011788121
360,90,1,2,0.021890649
360,90,2,6,0.016948472
360,120,2,6,0.024312235
380,30,1,3,0.008819004
380,60,1,3,0.012696297
380,90,1,2,0.024438446
380,90,2,6,0.018246869
380,120,2,6,0.026159747
400,30,1,3,0.009500633
400,60,1,3,0.013673472
400,90,1,2,0.027274506
400,90,2,6,0.019642747
400,120,2,6,0.028143604
420,30,1,3,0.010234403
420,60,1,3,0.014724735
420,90,1,2,0.030429423
420,90,2,6,0.021143109
420,120,2,6,0.030273232
440,30,1,3,0.011024213
440,60,1,2,0.023728636
440,60,2,6,0.015855522
440,90,1,2,0.033936545
440,90,2,6,0.022755412
440,120,2,6,0.03255861
460,30,1,4,0.011679597
460,60,1,2,0.026484559
460,60,2,8,0.016793247
460,90,2,6,0.024487589
460,90,3,12,0.024091221
460,120,2,6,0.035010286
460,120,3,12,0.034449608
480,30,1,4,0.012348316
480,60,1,2,0.029550876
480,60,2,8,0.017749492
480,90,2,6,0.026348066
480,90,3,12,0.025452271
480,120,2,4,0.059804681
480,120,3,12,0.036374051
500,30,1,4,0.013054817
500,60,1,2,0.032960184
500,60,2,8,0.018759149
500,90,2,6,0.028345788
500,90,3,12,0.026888096
500,120,2,4,0.066465339
500,120,3,12,0.038401722
520,30,1,4,0.013801176
520,60,1,2,0.036747932
520,60,2,8,0.01982508
520,90,2,6,0.030490236
520,90,3,12,0.028402559
520,120,2,4,0.073809582
520,120,3,12,0.040537671
540,30,1,3,0.015970879
540,30,2,8,0.014589574
540,60,1,2,0.040952531
540,60,2,8,0.020950286
540,90,2,6,0.032791442
540,90,3,12,0.029999694
540,120,2,4,0.081894153
540,120,3,9,0.046711569
540,120,4,16,0.042787137
560,30,1,3,0.017195694
560,30,2,8,0.015422305
560,60,1,2,0.045615426
560,60,2,8,0.022137912
560,90,2,6,0.035260012
560,90,3,12,0.03168371
560,120,2,4,0.090777459
560,120,3,9,0.050173699
560,120,4,16,0.045155554
580,30,1,3,0.018512674
580,30,2,8,0.01630178
580,60,1,2,0.050781131
580,60,2,8,0.023391254
580,90,2,4,0.071771291
580,90,3,12,0.033458997
580,120,2,4,0.100518864
580,120,3,9,0.053877928
580,120,4,16,0.047648545
600,30,1,3,0.019928473
600,30,2,8,0.01723053
600,60,2,6,0.028549383
600,60,3,12,0.02471376
600,90,2,4,0.079651803
600,90,3,12,0.035330127
600,120,2,4,0.111177803
600,120,3,9,0.057838981
600,120,4,16,0.050271924
620,30,1,3,0.021450182
620,30,2,8,0.018211214
620,60,2,6,0.030708746
620,60,3,12,0.02610904
620,90,2,4,0.088315271
620,90,3,9,0.043784782
620,90,4,16,0.037301857
620,120,2,4,0.122812684
620,120,3,9,0.062072141
620,120,4,16,0.053031696
640,30,1,2,0.049344902
640,30,2,8,0.01924662
640,60,2,6,0.033025882
640,60,3,12,0.027580867
640,90,2,4,0.097820884
640,90,3,9,0.04704069
640,90,4,16,0.039379136
640,120,3,6,0.135479574
640,120,4,12,0.066593223
640,120,5,20,0.055934048
660,30,1,2,0.054908652
660,30,2,8,0.020339676
660,60,2,6,0.035511453
660,60,3,12,0.029133181
660,90,2,4,0.108228154
660,90,3,9,0.05052592
660,90,4,16,0.041567099
660,120,3,6,0.149230665
660,120,4,12,0.071418527
660,120,5,20,0.058985348
680,30,1,2,0.061059435
680,30,2,8,0.021493448
680,60,2,4,0.085913556
680,60,3,12,0.030770099
680,90,2,4,0.119595887
680,90,3,9,0.054254669
680,90,4,16,0.043871078
680,120,3,6,0.164112532
680,120,4,12,0.076564789
700,30,1,2,0.067849754
700,30,2,8,0.02271115
700,60,2,4,0.095187655
700,60,3,9,0.041033484
700,60,4,16,0.032495913
700,90,3,6,0.131980916
700,90,4,12,0.058241714
700,90,5,20,0.046296592
700,120,3,6,0.180164199
700,120,5,15,0.082049114
720,30,2,6,0.030928772
720,30,3,12,0.02399615
720,60,3,9,0.044094235
720,60,4,16,0.034315096
720,90,4,12,0.062502394
720,90,5,20,0.048849356
720,120,5,15,0.087888891
740,30,2,6,0.033261941
740,30,3,15,0.025310054
740,60,3,9,0.047372015
740,60,4,16,0.036232307
740,60,5,25,0.036173072
740,90,4,12,0.067052573
760,30,2,6,0.035764621
760,30,3,12,0.02678229
760,30,4,20,0.026446339
760,60,4,12,0.050880482
760,60,5,20,0.038252391
760,90,5,15,0.071908597
780,30,3,12,0.028290967
780,30,4,20,0.02763219
780,60,4,12,0.054633891
780,60,5,20,0.040380382
800,30,3,9,0.041324332
800,30,4,16,0.02988202
800,30,5,25,0.028869638
800,60,5,15,0.058647077
820,30,4,12,0.044405774
820,30,5,20,0.031559646
840,30,4,12,0.047705557
